ID,Movie Name,Rating(10),Votes,Genre,Language
tt7787756,Naked Wheels,7.4,10,"Documentary, Short            ",malayalam
tt1269579,Probhu Noshto Hoi Jai,7.0,26,Drama            ,bengali
tt5290794,Bhale Manchi Roju,6.9,246,"Action, Romance            ",telugu
tt0256230,Nili,7.7,9,Romance            ,hindi
tt0345043,Chura Liyaa Hai Tumne,3.7,460,"Action, Drama, Mystery            ",hindi
tt3795628,Burning Calcutta,6.9,8,"Action, Biography, Drama            ",bengali
tt5795286,Oru Naal Koothu,6.8,517,"Comedy, Drama            ",tamil
tt1579634,Minor Raja,6.5,13,Comedy            ,telugu
tt6843812,Baaghi 2,4.8,"9,348","Action, Thriller            ",hindi
tt0178207,Aashiq Hoon Baharon Ka,5.4,84,Romance            ,hindi
tt0182251,Jab Pyaar Kisise Hota Hai,5.8,"2,405","Comedy, Drama, Romance            ",hindi
tt0156136,Tik Tik Tik,7.0,241,"Crime, Mystery, Thriller            ",telugu
tt4339078,Vellore Maavattam,5.9,25,Action            ,tamil
tt5313414,Channo Kamli Yaar Di,5.7,177,Drama            ,punjabi
tt3590158,Nirnayam,5.4,5,Drama            ,tamil
tt0154731,Khazanchi,5.8,12,Romance            ,hindi
tt0871510,Chak De! India,8.2,"74,911","Drama, Family, Sport            ",hindi
tt0090138,Tawaif,7.1,103,"Comedy, Drama, Romance            ",hindi
tt1758662,"Inshallah, football",7.7,66,"Documentary, History, Sport            ",oriya
